# name,planet_status,mass,radius,orbital_period,discovered,updated,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_metallicity,star_mass,star_radius,star_sp_type,star_age,star_teff,star_detected_disc,star_magnetic_field
11 Com b,Confirmed,,,326.03,2008,2021-10-02,4.74,,,,,110.6,-0.35,2.7,19,G8 III,,4742,,
11 Oph b,Confirmed,21,,730000,2007,2018-06-18,,,,,14.03,145,,0.0162,,M9,0.011,2375,,
11 UMi b,Confirmed,,,516.22,2009,2021-10-02,5.02,,,,,119.5,0.04,1.8,24.08,K4III,1.56,4340,,
11 Uma b,Candidate,3.72,,651.9,2008,2021-10-02,5.16,,,,,31.6,-0.245,1.81,36.3,K5III,,4090,,
14 And b,Confirmed,,,185.84,2008,2021-10-02,5.22,4.1,3.02,2.61,2.33,76.4,-0.24,2.2,11,K0III,,4813,,
14 Her b,Confirmed,9.1,,1763.3,2002,2021-11-12,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311,,
14 Her c,Confirmed,6.9,,52596,2006,2021-11-12,6.67,,,,,18.1,0.43,0.9,0.708,K0 V,5.1,5311,,
16 Cyg B b,Confirmed,,,799.5,1996,2021-10-02,6.2,,,,,21.41,0.08,1.01,0.98,G2.5 V,8,5766,,
17 Sco b,Confirmed,,,578.38,2020,2020-10-26,5.24,,,,,116,-0.01,1.22,25.92,K3 III,5.13,4157,,
18 Del b,Confirmed,,,993.3,2008,2021-10-02,5.52,,4.03,3.44,3.67,73.1,-0.052,2.3,8.5,G6III,,4979,,
19b1-02162 b,Candidate,,1.97,0.59862739,2013,2021-10-05,17,,,,,2188,,0.95,1.12,G8,,5500,,
1RXS 1609 b,Confirmed,14,1.7,,2008,2018-11-15,,10.99,9.82,9.12,8.92,145,,0.73,1.35,K7V,0.011,4060,,
1RXS J235133.3+312720 b,Confirmed,32,,,2012,2019-02-26,13.6,,,,,,,0.45,,M2V,0.1,,,
1SWASP J1407 b,Confirmed,,,3725,2012,2014-10-29,12.4,,,,,133,,0.9,0.99,,0.016,4400,,
1SWASPJ115718.66+261906.1 b,Candidate,,1.55,1.226804,2007,2021-09-01,11.12,,10.22,10.1,10.06,,,,1.32,,,,,
1SWASPJ130322.00+350525.4 b,Candidate,,1.06,2.674207,2007,2021-09-01,10.89,,9.5,9.22,9.12,,,,1.12,,,,,
1SWASPJ152131.01+213521.3 b,Candidate,,1.62,1.338018,2007,2021-09-01,12.19,,11.53,11.29,10.83,,,,1.19,,,,,
1SWASPJ160242.43+290850.1 b,Candidate,,1.53,1.304693,2007,2021-09-01,12.42,,11.32,10.94,10.43,,,,0.91,,,,,
1SWASPJ161732.90+242119.0 b,Candidate,,0.76,1.453738,2007,2021-09-01,11.96,,9.85,9.47,9.35,,,,0.77,,,,,
1SWASPJ182438.34 + 302546.0,Controversial,,1.8,818000,2022,2022-06-22,,,,,,389,,1.73,1.75,,,7800,,
21 Her (AB) b,Candidate,,,57.67,2002,2018-12-12,5.82,,5.76,5.77,5.75,113.45,,4.4,,A+M,,9500,,
24 Boo b,Confirmed,,,30.3506,2018,2021-10-02,5.6,,,,,100,-0.77,0.99,10.64,G3IV,6.92,4893,,
24 Sex b,Confirmed,,,452.8,2010,2021-10-02,7.38,,,,,72.2084,-0.03,1.54,4.9,G5,2.7,5098,,
24 Sex c,Confirmed,,,883,2010,2021-10-02,7.38,,,,,72.2084,-0.03,1.54,4.9,G5,2.7,5098,,
2M 0103-55 (AB) b,Confirmed,13,,,2013,2022-08-12,,,7.5,,,47.2,,0.4,,M,0.03,,,
2M 0219-39 b,Confirmed,13.9,1.44,,2015,2016-02-23,,,,,,39.4,,0.11,0.27,M6,,3064,,
2M 0441+23 b,Confirmed,7.5,,,2010,2016-02-23,,,14.2,13.72,13.16,140,,0.02,,M8.5,0.001,,,
2M 1252+2735 b,Confirmed,,,35.08,2021,2022-02-08,12,,,,,197.2,,,,G8IV,,,,
2M 1252+2735 c,Candidate,,,386,2021,2022-02-09,12,,,,,197.2,,,,G8IV,,,,
2M 1253+2734 b,Confirmed,,,24.31,2021,2022-02-08,,,,,,,,,,,,,,
2M 1258+2630 b,Confirmed,,,11.88,2021,2022-02-08,,,,,,,,,,,,,,
2M 1759-2739 b,Candidate,,1.262,2.188051,2019,2019-01-23,13.5,,,,,,,1.2856,1.6269,,,5787,,
2M 2140+16 b,Confirmed,20,0.92,7340,2010,2012-01-19,,,,,,25,,0.08,0.1,,,2300,,
